Latitude,Longitude,Number of Structures,Type of building,Building Material,No of storeys,Type of Building Registration,Use of building,Total No. of Family Member,Gender: Male,Gender: Female,Gender: Others,Physically Disabled,Source of Income,Average Salary,Crops Harvest,Irrigation Facility,Electricity Facility,Road Acces,Nearest Health Facility,Animal Husbandary,No. of old member
27.4474222,85.0498979,1,स्थायी भवन,जस्तापाता,2,नक्सा पास् र सम्पन्न भएको,Residential,2,1,1,,0,Agriculture,3k,"Maize, Millet",Rain Water,Yes,Yes,7km,"Buffalo, Chicken, Goat",1
27.42361,85.0668215,1,स्थायी भवन,जस्तापाता,1,थाहा नभएको ,Residential,7,5,2,,0,Agriculture,12000,"Maize, Millet",No,Yes,Yes,3km,Chicken,0
27.447447,85.0503815,1,स्थायी भवन,जस्तापाता,1,नक्सा पास् र सम्पन्न भएको,Residential,3,2,1,,0,Agriculture,5 hundred,"Maize, Millet",Rain Water,Yes,Yes,7km,Cow,0
27.4236809,85.0669606,1,स्थायी भवन,आर.सी.सी.,1,नक्सा पास् नभएको र अभिलेकिकरण नगरिएको,Residential,6,3,3,,0,Agriculture,33000,"Maize, Millet",No,Yes,Yes,3km,Chicken,0
27.4471244,85.0498906,2,स्थायी भवन,जस्तापाता,1,नक्सा पास् र सम्पन्न भएको,Residential,9,4,5,,0,Agriculture,100,"Maize, Millet",Rain Water,Yes,Yes,7km,"Buffalo, Chicken, Goat",2
27.4244045,85.0671848,1,स्थायी भवन,जस्तापाता,1,नक्सा पास् नभएको र अभिलेकिकरण नगरिएको,Residential,4,2,2,,0,Agriculture,14000,"Maize, Millet",No,Yes,Yes,3km,Goat,0
27.4468078,85.0501415,2,स्थायी भवन,"जस्तापाता, आर.सी.सी.",1,नक्सा पास् र सम्पन्न भएको,Residential,7,2,5,,0,Agriculture,2k,"Maize, Millet",Rain Water,Yes,Yes,7km,"Chicken, Goat",2
27.4254176,85.0679942,1,स्थायी भवन,जस्तापाता,1,नक्सा पास् नभएको र अभिलेकिकरण नगरिएको,Residential,12,7,5,,0,Agriculture,140000,"Maize, Millet",No,Yes,Yes,3km,Cow,0
27.4450093,85.0487427,1,स्थायी भवन,जस्तापाता,1,नक्सा पास् र सम्पन्न भएको,Residential,6,2,4,,0,Agriculture,1k,"Maize, Millet",Rain Water,Yes,Yes,7km,"Chicken, Goat",0
27.425949,85.068484,1,स्थायी भवन,जस्तापाता,1,नक्सा पास् नभएको र अभिलेकिकरण नगरिएको,Residential,7,2,5,,0,Agriculture,13000,"Maize, Millet",No,Yes,Yes,3km,Chicken,0
27.4449236,85.0479928,1,स्थायी भवन,जस्तापाता,2,थाहा नभएको ,Residential,,,,,,,,,,Yes,Yes,7km,,
27.4258836,85.0684889,1,स्थायी भवन,जस्तापाता,1,नक्सा पास् नभएको र अभिलेकिकरण नगरिएको,Residential,6,3,3,,0,Agriculture,9000,"Maize, Millet",No,Yes,Yes,3km,Goat,2
27.4451848,85.0479176,1,स्थायी भवन,जस्तापाता,1,नक्सा पास्  भएको र अरु थाहा नभएको ,Residential,,,,,,,,,,Yes,Yes,7km,,
27.4154251,85.0673105,1,स्थायी भवन,जस्तापाता,2,नक्सा पास् नभएको र अभिलेकिकरण नगरिएको,Residential,6,2,4,,0,Agriculture,44000,"Maize, Millet",No,Yes,Yes,1km,Cow,0
27.4452397,85.0475742,1,स्थायी भवन,जस्तापाता,1,नक्सा पास् र सम्पन्न भएको,Residential,7,4,3,,0,Agriculture,2k,"Maize, Millet",Rain Water,Yes,Yes,7km,"Buffalo, Chicken, Goat",1
27.4450901,85.0473154,2,स्थायी भवन,"जस्तापाता, आर.सी.सी.",1,नक्सा पास् र सम्पन्न भएको,Residential,5,3,2,,0,Agriculture,3k,"Maize, Millet",Rain Water,Yes,Yes,7km,"Buffalo, Chicken, Goat",0
27.4162797,85.0680752,2,स्थायी भवन,जस्तापाता,1,नक्सा पास् नभएको र अभिलेकिकरण नगरिएको,Residential,9,4,5,,0,Agriculture,54000,"Maize, Millet",No,Yes,Yes,1km,,0
27.4158121,85.0691933,1,स्थायी भवन,जस्तापाता,1,नक्सा पास् नभएको र अभिलेकिकरण नगरिएको,Residential,4,2,2,,0,Agriculture,8000,"Maize, Millet",No,Yes,Yes,1km,Goat,0
